spin: 10 launches, 0.0 GB/s
pair: 15 launches, 2991.2 GB/s
neigh: 11 launches, 1120.2 GB/s
shire: 11 launches, 1121.1 GB/s
xshire1: 10 launches, 123.7 GB/s
xshire16: 12 launches, 154.1 GB/s
xshire8: 10 launches, 149.6 GB/s
xshire2: 10 launches, 87.5 GB/s
xshire4: 10 launches, 91.2 GB/s
xshire6: 10 launches, 89.3 GB/s
shire-c4: 16 launches, 557.6 GB/s
xshire1-c4: 11 launches, 112.4 GB/s

idle 30.73 W (median of 108 samples)
config           GB/s   MHz       W     +W     pJ/B   local  vs spin  what
spin              0.0   600   34.14   3.42      nan     nan      nan  no messages: hart 0 of every minion in an integer loop
pair           2991.2   600   33.19   2.46     0.82    0.67    -0.32  1 KB messages between the two minions of each pair, inside a neighbourhood
neigh          1120.2   600   33.42   2.70     2.41    2.22    -0.64  1 KB messages around rings of 8 (a neighbourhood)
shire          1121.1   600   33.21   2.49     2.22    2.15    -0.83  1 KB messages around rings of 32 (a shire)
xshire1         123.7   600   32.52   1.80    14.55   15.31   -13.09  1 KB messages from each minion to the same minion of the next shire ID
xshire16        154.1   600   32.06   1.33     8.64   10.36   -13.54  1 KB messages between shires s and s+16
xshire8         149.6   600   32.23   1.51    10.09   12.79   -12.76  1 KB messages around rings of 4 shires, 8 IDs apart
xshire2          87.5   600   31.79   1.07    12.19   18.25   -26.89  1 KB messages around rings of 16 shires, 2 IDs apart
xshire4          91.2   600   31.61   0.88     9.67   16.85   -27.83  1 KB messages around rings of 8 shires, 4 IDs apart
xshire6          89.3   600   31.57   0.85     9.47   18.48   -28.80  1 KB messages around rings of 16 shires, 6 IDs apart
shire-c4        557.6   600   31.93   1.21     2.17    3.77    -3.96  128 B messages around rings of 32 (a shire)
xshire1-c4      112.4   600   32.07   1.34    11.96   20.55   -18.45  128 B messages from each minion to the same minion of the next shire ID
